ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0000950170-24-110527	1671465	Performance Share Units (2023)			F4				F6		F6	Class A Common Stock		3844.0								D			
0000950170-24-110527	1671464	Performance Share Units (2022)			F4				F5		F5	Class A Common Stock		6310.0								D			
0000950170-24-110527	1671463	Performance Share Units (2021)			F4				F3		F3	Class A Common Stock		4136.0								D			
0000950170-24-110527	1671462	Employee Stock Option (right to buy)		56.25					F2	08-JUN-2027		Class A Common Stock		800.0								D			
0000950170-24-110527	1671461	Employee Stock Option (right to buy)		48.75					F2	07-JUN-2028		Class A Common Stock		250.0								D			
0000950170-24-110527	1671460	Employee Stock Option (right to buy)		7.85					F2	13-JUN-2029		Class A Common Stock		1200.0								D			
0000950170-24-110527	1671466	Performance Share Units (2024)			F4				F7		F7	Class A Common Stock		1176.0	F8							D			
0000950170-24-110526	1671421	Performance Share Units (2023)			F9				F11		F11	Class A Common Stock	F8	12348.0								D			
0000950170-24-110526	1671422	Performance Share Units (2024)			F9				F12		F12	Class A Common Stock	F8	4616.0	F13							D			
0000950170-24-110526	1671420	Performance Share Units (2022)			F9				F10		F10	Class A Common Stock	F8	13520.0								D			
0000950170-24-110526	1671419	Performance Share Units (2021)			F9				F7		F7	Class A Common Stock	F8	8864.0								D			
0000950170-24-110526	1671418	Option to purchase Class B Common Stock		56.25					F5	08-JUN-2027		Class A Common Stock	F6	600.0								D			
