ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001493152-24-038908	2546260	Option (Right to Buy)		4.0		27-SEP-2024				4	A	0				250000.0				0.0		A			F1	27-SEP-2034		Common Stock		250000.0				250000.0				D			
0000950170-24-110521	2548725	2022 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				19.82				0.0		A			F5		F5	Class A Common Stock		19.82				2306.02				D			
0000950170-24-110521	2548722	2019 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				6.28				0.0		A			F2		F2	Class A Common Stock		6.28				730.52				D			
0000950170-24-110521	2548723	2020 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				7.27				0.0		A			F3		F3	Class A Common Stock		7.27				846.22				D			
0000950170-24-110521	2548726	2023 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				17.02				0.0		A			F6		F6	Class A Common Stock		17.02				1979.99				D			
0000950170-24-110521	2548724	2021 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				9.43				0.0		A			F4		F4	Class A Common Stock		9.43				1097.49				D			
0000950170-24-110518	2547055	2022 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				65.51				0.0		A			F5		F5	Class A Common Stock		65.51				7621.84				D			
0000950170-24-110518	2547052	2019 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				23.53				0.0		A			F2		F2	Class A Common Stock		23.53				2737.65				D			
0000950170-24-110518	2547053	2020 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				24.24				0.0		A			F3		F3	Class A Common Stock		24.24				2820.73				D			
0000950170-24-110518	2547054	2021 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				34.54				0.0		A			F4		F4	Class A Common Stock		34.54				4018.41				D			
0000950170-24-110516	2548966	2019 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				486.13				0.0		A			F2		F2	Class A Common Stock		486.13				56561.32				D			
0000950170-24-110514	2547668	2019 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				159.95				0.0		A			F2		F2	Class A Common Stock		159.95				18610.27				D			
0000950170-24-110512	2546201	2020 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				74.32				0.0		A			F3		F3	Class A Common Stock		74.32				8646.83				D			
0000950170-24-110512	2546200	2019 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				63.67				0.0		A			F2		F2	Class A Common Stock		63.67				7408.08				D			
0000950170-24-110510	2546547	2023 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				64.84				0.0		A			F6		F6	Class A Common Stock		64.84				7543.74				D			
0000950170-24-110510	2546546	2022 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				65.51				0.0		A			F5		F5	Class A Common Stock		65.51				7621.84				D			
0000950170-24-110510	2546545	2021 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				51.54				0.0		A			F4		F4	Class A Common Stock		51.54				5996.65				D			
0000950170-24-110510	2546543	2019 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				37.63				0.0		A			F2		F2	Class A Common Stock		37.63				4378.8				D			
0000950170-24-110510	2546544	2020 Incentive RSUs		0.0	F1	26-SEP-2024				4	A	false				36.43				0.0		A			F3		F3	Class A Common Stock		36.43				4238.79				D			
0000950170-24-110508	2546677	2019 Long Term Incentive Award		0.0	F1	26-SEP-2024				4	A	false				501.92				0.0		A			F2		F2	Class A Common Stock		501.92				58398.33				D			
0001415889-24-024119	2546623	Stock Option (right to buy)		13.22		30-SEP-2024				4	M	0				181.0				0.0		D			F11	19-JUL-2027		Common Stock		181.0				11560.0				D	F8		
0001415889-24-024119	2546622	Stock Option (right to buy)		10.73		30-SEP-2024				4	M	0				181.0				0.0		D			F11	19-JUL-2027		Common Stock		181.0				11560.0				D	F8		
0001415889-24-024119	2546621	Stock Option (right to buy)		17.0		30-SEP-2024				4	M	0				434.0				0.0		D			F11	19-JUL-2027		Common Stock		434.0				27744.0				D	F8		
0001415889-24-024119	2546618	Stock Option (right to buy)		10.73		27-SEP-2024				4	M	0				345.0				0.0		D			F11	19-JUL-2027		Common Stock		345.0				11741.0				D	F8		
0001415889-24-024119	2546619	Stock Option (right to buy)		13.22		27-SEP-2024				4	M	0				345.0				0.0		D			F11	19-JUL-2027		Common Stock		345.0				11741.0				D	F8		
