ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001493152-24-038908	/s/ LeeAnn Rohmann	30-SEP-2024
0000950170-24-110527	Elizabeth D. Tice Attorney-in-Fact	30-SEP-2024
0000950170-24-110526	Elizabeth D. Tice Attorney-in-Fact	30-SEP-2024
0001828318-24-000207	/s/ Arthi Chakravarthy, Attorney-in-Fact for Thurman J. Rodgers	30-SEP-2024
0000950170-24-110521	/s/ Osamu Watanabe as attorney-in-fact for Christopher Callesano	30-SEP-2024
0000950170-24-110518	/s/ Osamu Watanabe as attorney-in-fact for Katherine Pilcher Ciafone	30-SEP-2024
0000950170-24-110516	/s/ Osamu Watanabe as attorney-in-fact for Navid Mahmoodzadegan	30-SEP-2024
0000950170-24-110514	/s/ Osamu Watanabe as attorney-in-fact for Jeffrey Raich	30-SEP-2024
0001850356-24-000008	/s/ Sean Sullivan as attorney-in-fact	30-SEP-2024
0000950170-24-110512	/s/ Osamu Watanabe as attorney-in-fact for Joseph Simon	30-SEP-2024
0000950170-24-110510	/s/ Osamu Watanabe	30-SEP-2024
0000950170-24-110508	/s/ Osamu Watanabe as attorney-in-fact for Kenneth Moelis	30-SEP-2024
0001415889-24-024119	Avalon BioVentures I, LP, By: Avalon BioVentures GP, LLC, its general partner, By /s/ Jay B. Lichter, Authorized Signatory	30-SEP-2024
0001415889-24-024119	Avalon Ventures XI, L.P., By: Avalon Ventures XI GP, LLC, its general partner, By /s/ Jay B. Lichter, Authorized Signatory	30-SEP-2024
0001415889-24-024119	Avalon BioVentures SPV I, LP, By: ABV SPV I GP, LLC, its general partner, By /s/ Jay B. Lichter, Authorized Signatory	30-SEP-2024
0001415889-24-024119	/s/ Jay B. Lichter	30-SEP-2024
0000950170-24-110506	/s/ Osamu Watanabe as attorney-in-fact for Eric Cantor	30-SEP-2024
0000950170-24-110504	/s/ Osamu Watanabe as attorney-in-fact for John A. Allison	30-SEP-2024
0000950170-24-110502	/s/ Osamu Watanabe as attorney-in-fact for Kenneth Shropshire	30-SEP-2024
0000950170-24-110500	/s/ Osamu Watanabe as attorney-in-fact for Laila Worrell	30-SEP-2024
0001415889-24-024118	/s/ Larry Guo, Attorney-in-Fact	30-SEP-2024
0001415889-24-024117	/s/ Elizabeth E. Reed, Attorney-in-Fact	30-SEP-2024
0001415889-24-024116	/s/ Larry Guo, Attorney-in-Fact	30-SEP-2024
0001213900-24-083563	NLabs Inc. By: /s/ Janice K, Smith	30-SEP-2024
0001213900-24-083563	/s/ Allen Salmasi	30-SEP-2024
0000950170-24-110495	/s/ Elizabeth Villalobos, Attorney-in-Fact for Nir Zuk	30-SEP-2024
0000950170-24-110494	/s/ Madryn Health Partners (Cayman Master), LP, by John Ricciardi, Authorized Signatory	30-SEP-2024
0000950170-24-110494	/s/ Madryn Health Partners, LP, by John Ricciardi, Authorized Signatory	30-SEP-2024
0000950170-24-110494	/s/ Madryn Asset Management, LP, by John Ricciardi, Authorized Signatory	30-SEP-2024
0000950170-24-110494	/s/ Madryn Health Advisors, LP, by John Ricciardi, Authorized Signatory	30-SEP-2024
0001493152-24-038889	/s/ Edward Pershing	30-SEP-2024
0001104659-24-104491	/s/ Rajesh Gupta, for himself and as an authorized signatory of ORE and OHM	30-SEP-2024
0000950170-24-110489	/s/ Shelley Thunen, as Attorney-in-Fact	30-SEP-2024
0001493152-24-038887	/s/ John Lacey III	30-SEP-2024
0001493152-24-038885	/s/ Webster Bailey	30-SEP-2024
0001225208-24-008884	/s/ Matthew J. Cox	30-SEP-2024
0001104659-24-104487	/s/ Rajesh Gupta, as an authorized signatory of OHM	30-SEP-2024
0001104659-24-104486	/s/ Rajesh Gupta, as an authorized signatory of OHM	30-SEP-2024
0001437749-24-030292	/s/ Kenneth B. Stratton, as Attorney-in-Fact	30-SEP-2024
0000110471-24-000153	/s/ David Latchana	30-SEP-2024
0000769397-24-000159	Pamela Chie, Attorney-in-Fact for Stephen Hope	30-SEP-2024
0001104659-24-104475	/s/ Kenneth P. Onorio, Chief Financial Officer of Eagle Point DIF GP I LLC	30-SEP-2024
0001104659-24-104475	/s/ Kenneth P. Onorio, Chief Financial Officer of Eagle Point Credit Management LLC	30-SEP-2024
0000950170-24-110485	/s/Thomas Beetham	30-SEP-2024
0001213900-24-083524	/s/ Simon Tarsh	30-SEP-2024
0001213900-24-083523	/s/ Ajit Singh	30-SEP-2024
0001213900-24-083522	/s/ James Sapirstein	30-SEP-2024
0001213900-24-083521	/s/ Timothy Ramdeen	30-SEP-2024
0000950170-24-110484	/s/Stephen Mahoney	30-SEP-2024
0001213900-24-083520	/s/ Thomas Meier	30-SEP-2024
0001174947-24-001107	/s/ Henry M. Nahmad	30-SEP-2024
0001174947-24-001106	/s/ Thomas Marks	30-SEP-2024
0001174947-24-001105	/s/ Robert Lazar	30-SEP-2024
0001493152-24-038881	/s/ Dominic Rodrigues	30-SEP-2024
0001493152-24-038879	/s/ Edward Pershing	30-SEP-2024
0001127602-24-024579	/s/ John Faurescu, attorney-in-fact for Mr. Blum	30-SEP-2024
0001104659-24-104456	/S/ SYLVIA HALL, BY POWER OF ATTORNEY	30-SEP-2024
0001104659-24-104453	/S/ SILVIA HALL, BY POWER OF ATTORNEY	30-SEP-2024
0001493152-24-038877	/s/ Andrew Jackson, Attorney-in-fact	30-SEP-2024
0001493152-24-038874	/s/ Shanti Gupta	30-SEP-2024
0001493152-24-038875	/s/ Scott Wisniewski	30-SEP-2024
0001493152-24-038873	/s/ Andrew M. Johnson	30-SEP-2024
0001415889-24-024110	/s/ Pamela Sergeeff, Attorney-in-Fact	30-SEP-2024
0001415889-24-024109	/s/ Gary W Doherty, Attorney-in-Fact	30-SEP-2024
0001415889-24-024108	/s/ Gary W Doherty, Attorney-in-Fact	30-SEP-2024
0001415889-24-024107	/s/ Gary W Doherty, Attorney-in-Fact	30-SEP-2024
0001415889-24-024106	/s/ Gary W Doherty, Attorney-in-Fact	30-SEP-2024
0001415889-24-024105	/s/ Gary W Doherty, Attorney-in-Fact	30-SEP-2024
0001415889-24-024104	/s/ Gary W Doherty, Attorney-in-Fact	30-SEP-2024
0001415889-24-024103	/s/ Gary W Doherty, Attorney-in-Fact	30-SEP-2024
0001415889-24-024102	/s/ Gary W Doherty, Attorney-in-Fact	30-SEP-2024
0001415889-24-024101	/s/ Spencer Lott, Attorney-in-Fact	30-SEP-2024
0001437958-24-000127	/s/ Melisa Nelson, as Attorney-in-fact	30-SEP-2024
0000950170-24-110479	/s/ Valentina Margulis, as Attorney-in-Fact for John Kent Walker	30-SEP-2024
0001104659-24-104443	/s/ Andrew Shutterly, as Attorney-in-Fact	30-SEP-2024
0001104659-24-104442	/s/ Andrew Shutterly, as Attorney-in-Fact	30-SEP-2024
0001104659-24-104441	/s/ Andrew Shutterly, as Attorney-in-Fact	30-SEP-2024
0001104659-24-104440	/s/ Andrew Shutterly, as Attorney-in-Fact	30-SEP-2024
0001104659-24-104439	/s/ Andrew Shutterly, as Attorney-in-Fact	30-SEP-2024
0001104659-24-104438	/s/ Andrew Shutterly, as Attorney-in-Fact	30-SEP-2024
0001104659-24-104437	/s/ Andrew Shutterly, as Attorney-in-Fact	30-SEP-2024
0001225208-24-008882	/s/Patrick L. Donnelly, attorney in fact	30-SEP-2024
0001936313-24-000003	Thomas Williams, Executive Director on behalf of Employees' Retirement System of the State of Hawaii	30-SEP-2024
0001225208-24-008881	/s/Patrick L. Donnelly, attorney in fact	11-SEP-2024
0000350894-24-000122	/s/ Philip McCabe by Diane Gallagher, attorney in fact	30-SEP-2024
0001744489-24-000240	/s/ Karen Young, as attorney-in-fact	30-SEP-2024
0001225208-24-008880	/s/ Hope M. Spencer, Attorney-in-Fact	30-SEP-2024
0001989393-24-000007	/s/ Susan Taylor	30-SEP-2024
0001601830-24-000161	/s/Jonathan Golightly, attorney-in-fact	30-SEP-2024
0001225208-24-008879	/s/ Nikki L. Ferderer, Power of Attorney	30-SEP-2024
0001793659-24-000076	/s/ Kyle Sauers as Attorney-in-fact	30-SEP-2024
0000905148-24-002593	/s/ John Leone - for PineBridge GEM II G.P., L.P., By: PineBridge GEM II G.P., Co, its general partner, By: John Leone, Vice President	30-SEP-2024
