ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0000950170-24-110527	2235903	Class A Common Stock				15702.0	F1			D			
0000950170-24-110526	2235778	Class A Common Stock				14272.0	F1			I			
0000950170-24-110526	2235777	Class A Common Stock				558.0				D		Held by Hovnanian Family 2021 trusts	
0001828318-24-000207	2237142	Common Stock				900000.0				I		Trust	F4
0001850356-24-000008	2236796	Common Stock				10000.0				I		By Trust	F2
0001213900-24-083563	2237043	Common Stock				437029.0	F1			D		See Footnote	F2
0001213900-24-083563	2237044	Common Stock				3299534.0	F2			I		See Footnote	F3
0001213900-24-083563	2237045	Common Stock				12148921.0	F3			I			
0000950170-24-110495	2237239	Common Stock				274914.0				I		See footnote	F12
0000950170-24-110489	2235404	Common Stock				1372.0				I		By spouse	
0001104659-24-104486	2235637	Common Stock, $0.01 par value per share				950000.0				I		By: Omni Retail Enterprises, LLC	F1
0001174947-24-001107	2237165	Common Stock, $0.025 par value per share				2838194.0				I		By Symmetric Capital LLC	F3
0001174947-24-001106	2236826	Common Stock, $0.025 par value per share				1022495.0				I		By family and childrens' trusts	
0001127602-24-024579	2236035	Common Stock				2083.0				I		by Trust 1	F1
0001127602-24-024579	2236036	Common Stock				2083.0				I		by Trust 2	F2
0001415889-24-024109	2236512	Common Stock				20923126.0	F1			I		See Footnote	F2
0001415889-24-024104	2237261	Common Stock				628000.0	F1			I		By the Matthew Standen Will Special Needs Trust Dtd 1/16/2013	
0001415889-24-024104	2237260	Common Stock				5827224.0	F1			I		By the Allan R. Will Trust U/A Dtd 6/14/2012	
0001415889-24-024102	2236506	Common Stock				167413.0	F1			I		By Bronwyn Evans and Peter Douglas Gordon	
0001437958-24-000127	2235694	Common Stock				400.0				I		By Custodian for Child 1	
0001437958-24-000127	2235695	Common Stock				400.0				I		By Custodian for Child 2	
0001437958-24-000127	2235696	Common Stock				400.0				I		By Custodian for Child 3	
0000950170-24-110479	2235984	Class C Google Stock Units	F2			70691.0				D			
0000950170-24-110479	2235985	Class C Google Stock Units	F3			85253.0				D			
0000950170-24-110479	2235983	Class C Google Stock Units	F1			10325.0				D			
0001989393-24-000007	2237447	Limited Liability Company Shares, Class I						80182369.87	F1	D			
0001225208-24-008879	2237288	Common Stock				43463.0				D			
0001415889-24-024099	2236360	Common Stock				15926.0				I		As custodian for daughter	
0001415889-24-024099	2236359	Common Stock				132945.0				I		By subtrust	
0001415889-24-024099	2236358	Common Stock				145735.0				I		By trust	
0001072613-24-000738	2237067	Common Stock				38661.0				I		By spouse	
0001072613-24-000738	2237066	Common Stock				435515.0				I		By Five Sterling LP	
0001072613-24-000738	2237065	Common Stock				476744.0				I		By Big Red Revocable Trust	
0001072613-24-000738	2237064	Common Stock				740363.0				I		By Petroleum Independent & Exploration LLC	
0001620533-24-000097	2235658	Class A Common Stock, par value $0.001 per share				1305306.0				I		BY TRUST	F2
0001620533-24-000097	2235659	Class A Common Stock, par value $0.001 per share				2958.0				D			
0000929638-24-003356	2236164	Common Stock				1002207.0				I		See Footnotes	F1, F3
0001664272-24-000343	2236354	Common Units (representing limited partnership interests)				7747.0				D			
0001127602-24-024578	2235662	Common Stock				41045.0	F4			I		By Trust	
0001127602-24-024578	2235663	Common Stock				41045.0	F4			I		By Trust	
0000950170-24-110427	2235601	Common Stock				9317.0	F3			I		By 401(k) plan	
0001683168-24-006770	2236767	Common Stock				4300000.0				D			
0001802768-24-000054	2237318	Class A Ordinary Shares				58200.0				I		By Fernandez 2007 Children's Trust	
0001415889-24-024096	2237112	Common Stock, $0.01 par value				2322.0	F1			I		Profit sharing trust	
0001415889-24-024096	2237113	Common Stock, $0.01 par value				3873.0	F2			I		By spouse	
0001628280-24-041604	2236882	$5 Par Common Stock				2666.0				I		401(k) Plan	
0000950170-24-110413	2236775	Common Stock				24152.0				D			
0001569187-24-000147	2235354	6.75% Series A Preferred Stock				4000.0				D			
0001569187-24-000146	2237102	6.75% Series A Preferred Stock				5000.0				D			
0001569187-24-000144	2237074	6.75% Series A Preferred Stock				12000.0				D			
0001562180-24-006988	2235426	Class A Common Stock				716728.0				I			
0001562180-24-006988	2235425	Class A Common Stock				8266666.0	F8			D		See Footnote	F9
0001562180-24-006988	2235424	Class A Common Stock				444444.0				I		See Footnote	F7
0001569187-24-000143	2237018	6.75% Series A Preferred Stock				2000.0				D			
0001569187-24-000142	2235535	Common Stock				47452.5				I		By Spouse	F2
0000950170-24-110404	2237210	Common Stock				253.0				I		By Ian D. Richison 2012 Irrevocable Trust	F13
0000950170-24-110404	2237209	Common Stock				253.0				I		By Ava L. Richison 2012 Irrevocable Trust	F12
0000950170-24-110404	2237205	Common Stock				1012.0				I		By Lane West Richison 2022 Irrevocable Trust	F8
0000950170-24-110404	2237211	Common Stock				56.0				I		By Abrie R. Richison 2012 Irrevocable Trust	F14
0000950170-24-110404	2237204	Common Stock				1012.0				I		By Rome West Pedersen 2023 Irrevocable Trust	F7
0000950170-24-110404	2237203	Common Stock				1012.0				I		By Faye Penelope Richison 2023 Irrevocable Trust	F6
0000950170-24-110404	2237212	Common Stock				12500.0				I		By Charis Michelle Richison Trust	F15
0000950170-24-110404	2237206	Common Stock				1012.0				I		By Kase Gabriel Richison 2022 Irrevocable Trust	F9
0000950170-24-110404	2237207	Common Stock				1012.0				I		By Sage Elizabeth Richison 2022 Irrevocable Trust	F10
0000950170-24-110404	2237208	Common Stock				1012.0				I		By Charles Banks Pedersen 2022 Irrevocable Trust	F11
0000027419-24-000166	2237013	Common Stock				365.78	F2			I		By 401(k) Plan	
0001869745-24-000018	2236033	Common Stock				22390.0				D			
0001062993-24-017085	2235529	Class C Common Stock				1380000.0				I		By Susan Lieberman Dell Separate Property Trust	F1
0001411690-24-000055	2236770	Common Stock				16471.0				D			
0001828962-24-000117	2236989	Class A Common Stock				0.0				D			
0001628280-24-041592	2235900	Common Stock				161086.0				I		Aiello Family Trust	
0001628280-24-041590	2235725	Common Stock				25000.0				I		The Eula Adams Trust	
0001412665-24-000148	2236276	Common Stock				1520.71	F3			I		By ESOP	
0001412665-24-000145	2236924	Common Stock				2000.0				I		Held in IRA	
0001412665-24-000145	2236923	Common Stock	F3			593.56	F3			I		By ESOP	
0001412665-24-000143	2235574	Common Stock				7421.64	F3			I		By ESOP	
0001412665-24-000142	2236287	Common Stock				408.0				I		By IRA	
0000950170-24-110395	2236103	Class A Common Stock	F1, F2			339028.0				D	F5		
0000950170-24-110395	2236104	Class A Common Stock	F1, F2			334150.0				D	F6		
0001412665-24-000140	2236887	Common Stock				32000.0				I		By IRA	
0001412665-24-000139	2236271	Common Stock				1000.0				I		Held in Trust	
0001412665-24-000138	2235477	Common Stock				1568.82	F3			I		By ESOP	
0001225208-24-008876	2236399	Common Stock				21910.0				I		By Children's Trust	F3
0001127602-24-024576	2237174	Common Stock				5701.97				I		By 401(k)	
0001127602-24-024576	2237175	Common				57270.0				I		By Wife's Trust for Children	
0001127602-24-024576	2237170	Common				415203.0				I		By Trust for Children	
0001127602-24-024576	2237171	Common				178689.0				I		By Trust for Wife	
0001127602-24-024576	2237172	Common				6774.0				I		By Son	
0001127602-24-024576	2237173	Common				395970.0				I		By Wife's Trust for Children and Reporting Person	
0001127602-24-024575	2235474	Common				5569.22				I		By 401(k) plan	
0001553350-24-000137	2236056	Common Stock				1161.0	F2			D			
0001553350-24-000137	2236057	Common Stock				997.0	F3			D			
0001553350-24-000137	2236058	Common Stock				9571.0	F4			D			
0001553350-24-000137	2236055	Common Stock				4683.0	F1			D			
0001553350-24-000137	2236059	Common Stock				15582.0	F5			D			
0001477932-24-006040	2235687	No securities are beneficially owned				0.0				D			
0001840776-24-000210	2236174	Class A Common Stock				53474.0				D			
0001104659-24-104294	2236701	Class B Common Stock				92654.0				I		By 401(K) Plan	
0001104659-24-104293	2237107	Class B Common Stock				92654.0				I		By 401(K) Plan	
0001104659-24-104293	2237106	Class B Common Stock				100000.0				I		By spouse	
0001104659-24-104292	2235557	Class B Common Stock				92654.0				I		By 401(K) Plan	
0001104659-24-104292	2235556	Class B Common Stock				137512.0				I		By spouse	
0000950170-24-110373	2236108	Common Stock				3333.0				I	F3	Indirect Owner (Custodial Account for Son)	
